Date,Open,High,Low,Close,Adj Close,Volume
2023-03-25,27487.337890625,27791.826171875,27196.234375,27494.70703125,27494.70703125,13383005987
2023-03-26,27495.5234375,28178.14453125,27445.046875,27994.330078125,27994.330078125,13878363192
2023-03-27,27994.068359375,28037.92578125,26606.689453125,27139.888671875,27139.888671875,18188895178
2023-03-28,27132.888671875,27460.71875,26677.818359375,27268.130859375,27268.130859375,17783600385
2023-03-29,27267.03125,28619.54296875,27259.662109375,28348.44140625,28348.44140625,20684945906
2023-03-30,28350.140625,29159.90234375,27720.16015625,28033.5625,28033.5625,22435349951
2023-03-31,28032.26171875,28639.896484375,27583.71484375,28478.484375,28478.484375,19001327598
2023-04-01,28473.33203125,28802.45703125,28297.171875,28411.03515625,28411.03515625,10876469901
2023-04-02,28462.845703125,28518.958984375,27884.087890625,28199.30859375,28199.30859375,12284641999
2023-04-03,28183.080078125,28475.623046875,27276.720703125,27790.220703125,27790.220703125,19556501327
2023-04-04,27795.2734375,28433.7421875,27681.3046875,28168.08984375,28168.08984375,15284538859
2023-04-05,28169.7265625,28739.23828125,27843.763671875,28177.984375,28177.984375,17052315986
2023-04-06,28175.2265625,28178.384765625,27738.759765625,28044.140625,28044.140625,13837809380
2023-04-07,28038.966796875,28111.59375,27794.03125,27925.859375,27925.859375,10861680497
2023-04-08,27920.513671875,28159.86328125,27883.38671875,27947.794921875,27947.794921875,9373255556
2023-04-09,27952.3671875,28532.830078125,27828.48046875,28333.05078125,28333.05078125,12175322951
2023-04-10,28336.02734375,29771.46484375,28189.271484375,29652.98046875,29652.98046875,19282400094
2023-04-11,29653.6796875,30509.083984375,29609.30078125,30235.05859375,30235.05859375,20121259843
2023-04-12,30231.58203125,30462.48046875,29725.57421875,30139.052734375,30139.052734375,18651929926
2023-04-13,29892.740234375,30539.845703125,29878.623046875,30399.06640625,30399.06640625,17487721001
2023-04-14,30409.5625,31005.607421875,30044.498046875,30485.69921875,30485.69921875,22659995079
2023-04-15,30490.75,30601.740234375,30245.8828125,30318.49609375,30318.49609375,11940685378
2023-04-16,30315.9765625,30555.537109375,30157.83203125,30315.35546875,30315.35546875,12854816417
2023-04-17,30317.146484375,30319.197265625,29275.37109375,29445.044921875,29445.044921875,17872186762
2023-04-18,29449.091796875,30470.302734375,29154.849609375,30397.552734375,30397.552734375,19480529496
2023-04-19,30394.1875,30411.0546875,28669.8984375,28822.6796875,28822.6796875,24571565421
2023-04-20,28823.68359375,29076.400390625,28037.2578125,28245.98828125,28245.98828125,21340360360
2023-04-21,28249.23046875,28349.96875,27177.365234375,27276.91015625,27276.91015625,20759504330
2023-04-22,27265.89453125,27872.142578125,27169.5703125,27817.5,27817.5,13125734602
2023-04-23,27816.14453125,27820.244140625,27400.314453125,27591.384765625,27591.384765625,12785446832
2023-04-24,27591.73046875,27979.982421875,27070.849609375,27525.33984375,27525.33984375,17703288330
2023-04-25,27528.955078125,27557.65625,27207.931640625,27394.330078125,27394.330078125,14545816576
